stock,price,date,time
NVDA,183.52,20-10-2025,16:06:31
AAPL,262.30,20-10-2025,16:06:31
MSFT,517.66,20-10-2025,16:06:31
AMZN,215.17,20-10-2025,16:06:31
META,730.41,20-10-2025,16:06:31
NVDA,182.64,20-10-2025,20:59:04
AAPL,262.30,20-10-2025,20:59:04
MSFT,516.52,20-10-2025,20:59:04
AMZN,216.57,20-10-2025,20:59:04
META,732.47,20-10-2025,20:59:04
NVDA,182.64,20-10-2025,21:20:34
AAPL,262.24,20-10-2025,21:20:34
MSFT,516.79,20-10-2025,21:20:34
AMZN,216.48,20-10-2025,21:20:34
META,732.17,20-10-2025,21:20:34
NVDA,182.64,20-10-2025,21:49:48
AAPL,262.24,20-10-2025,21:49:48
MSFT,516.79,20-10-2025,21:49:48
AMZN,216.48,20-10-2025,21:49:48
META,732.17,20-10-2025,21:49:48
NVDA,182.64,21-10-2025,10:02:25
AAPL,262.24,21-10-2025,10:02:25
MSFT,516.79,21-10-2025,10:02:25
AMZN,216.48,21-10-2025,10:02:25
META,732.17,21-10-2025,10:02:25
NVDA,182.64,21-10-2025,10:05:18
AAPL,262.24,21-10-2025,10:05:18
MSFT,516.79,21-10-2025,10:05:18
AMZN,216.48,21-10-2025,10:05:18
META,732.17,21-10-2025,10:05:18
GOOGL,256.55,21-10-2025,10:05:18
NVDA,182.64,21-10-2025,10:17:37
AAPL,262.24,21-10-2025,10:17:37
MSFT,516.79,21-10-2025,10:17:37
AMZN,216.48,21-10-2025,10:17:37
META,732.17,21-10-2025,10:17:37
GOOGL,256.55,21-10-2025,10:17:37
NFLX,1238.56,21-10-2025,10:17:37
AMD,240.56,21-10-2025,10:17:37
RACE,398.31,21-10-2025,10:17:37
NVDA,182.64,21-10-2025,10:28:58
AAPL,262.24,21-10-2025,10:28:58
MSFT,516.79,21-10-2025,10:28:58
AMZN,216.48,21-10-2025,10:28:58
META,732.17,21-10-2025,10:28:58
GOOGL,256.55,21-10-2025,10:28:58
NFLX,1238.56,21-10-2025,10:28:58
AMD,240.56,21-10-2025,10:28:58
RACE,398.31,21-10-2025,10:28:58
NVDA,182.64,21-10-2025,10:30:32
AAPL,262.24,21-10-2025,10:30:32
MSFT,516.79,21-10-2025,10:30:32
AMZN,216.48,21-10-2025,10:30:32
META,732.17,21-10-2025,10:30:32
GOOGL,256.55,21-10-2025,10:30:32
NFLX,1238.56,21-10-2025,10:30:32
AMD,240.56,21-10-2025,10:30:32
RACE,398.31,21-10-2025,10:30:32
NVDA,182.64,21-10-2025,12:59:21
AAPL,262.24,21-10-2025,12:59:21
MSFT,516.79,21-10-2025,12:59:21
AMZN,216.48,21-10-2025,12:59:21
META,732.17,21-10-2025,12:59:21
GOOGL,256.55,21-10-2025,12:59:21
NFLX,1238.56,21-10-2025,12:59:21
AMD,240.56,21-10-2025,12:59:21
RACE,398.31,21-10-2025,12:59:21
NVDA,182.64,21-10-2025,14:12:15
AAPL,262.24,21-10-2025,14:12:15
MSFT,516.79,21-10-2025,14:12:15
AMZN,216.48,21-10-2025,14:12:15
META,732.17,21-10-2025,14:12:15
GOOGL,256.55,21-10-2025,14:12:15
NFLX,1238.56,21-10-2025,14:12:15
AMD,240.56,21-10-2025,14:12:15
RACE,398.31,21-10-2025,14:12:15
NVDA,181.16,22-10-2025,10:06:21
AAPL,262.77,22-10-2025,10:06:21
MSFT,517.66,22-10-2025,10:06:21
AMZN,222.03,22-10-2025,10:06:21
META,733.27,22-10-2025,10:06:21
GOOGL,250.46,22-10-2025,10:06:21
NFLX,1241.35,22-10-2025,10:06:21
AMD,238.03,22-10-2025,10:06:21
RACE,400.46,22-10-2025,10:06:21
NVDA,181.16,22-10-2025,10:41:08
AAPL,262.77,22-10-2025,10:41:08
MSFT,517.66,22-10-2025,10:41:08
AMZN,222.03,22-10-2025,10:41:08
META,733.27,22-10-2025,10:41:08
GOOGL,250.46,22-10-2025,10:41:08
NFLX,1241.35,22-10-2025,10:41:08
AMD,238.03,22-10-2025,10:41:08
RACE,400.46,22-10-2025,10:41:08
NVDA,181.16,22-10-2025,12:35:36
AAPL,262.77,22-10-2025,12:35:36
MSFT,517.66,22-10-2025,12:35:36
AMZN,222.03,22-10-2025,12:35:36
META,733.27,22-10-2025,12:35:36
GOOGL,250.46,22-10-2025,12:35:36
NFLX,1241.35,22-10-2025,12:35:36
AMD,238.03,22-10-2025,12:35:36
RACE,400.46,22-10-2025,12:35:36
NVDA,181.16,22-10-2025,15:00:25
AAPL,262.77,22-10-2025,15:00:25
AMZN,218.65,22-10-2025,15:00:25
META,737.63,22-10-2025,15:00:25
GOOGL,250.46,22-10-2025,15:00:25
AMD,233.08,22-10-2025,15:00:25
NVDA,181.16,22-10-2025,15:03:00
AAPL,260.11,22-10-2025,15:03:00
AMZN,218.74,22-10-2025,15:03:00
META,733.27,22-10-2025,15:03:00
GOOGL,250.46,22-10-2025,15:03:00
AMD,238.64,22-10-2025,15:03:00
NVDA,178.93,22-10-2025,17:51:13
AAPL,257.90,22-10-2025,17:51:13
MSFT,522.22,22-10-2025,17:51:13
AMZN,218.58,22-10-2025,17:51:13
META,728.21,22-10-2025,17:51:13
GOOGL,250.73,22-10-2025,17:51:13
NFLX,1118.02,22-10-2025,17:51:13
AMD,233.08,22-10-2025,17:51:13
RACE,394.19,22-10-2025,17:51:13
NVDA,178.93,22-10-2025,18:18:06
AAPL,257.90,22-10-2025,18:18:06
MSFT,521.14,22-10-2025,18:18:06
AMZN,218.71,22-10-2025,18:18:06
META,728.21,22-10-2025,18:18:06
GOOGL,250.73,22-10-2025,18:18:06
NFLX,1114.32,22-10-2025,18:18:06
AMD,227.05,22-10-2025,18:18:06
RACE,394.71,22-10-2025,18:18:06
IBM,283.91,22-10-2025,18:18:06
TM,196.49,22-10-2025,18:18:06
NVDA,180.28,23-10-2025,10:52:12
AAPL,258.45,23-10-2025,10:52:12
MSFT,520.54,23-10-2025,10:52:12
AMZN,217.95,23-10-2025,10:52:12
META,726.43,23-10-2025,10:52:12
GOOGL,250.35,23-10-2025,10:52:12
NFLX,1116.37,23-10-2025,10:52:12
